"Table  download from NOAA Fisheries ShoreZone mapping website, Fri Aug 09 2024"
"ShoreZone Unit"

Selection Criteria:

"PHY_IDENT","HabClass","BC_CLASS","EXP_BIO","SHORETYPE","ESI","ORI","TRSH","DUGR","SPZO","BLLI","YELI","BARN","BLMU","GRAL","REAL","SURF","EELG","ALAR","SOBK","DABK","ROCK","DRKE","BUKE","CMECS_1","CMECS_2","LENGTH_M","Slope_calc","Wave_Dissipation","Orient_dir","Tidal_height","CVI_Rank"
"04/01/0505/A","51","7","P","7","9A","4","C","","N","","","","","","","","C","","","","","","","S1.2.2.2","","742.611","1","Spilling","SW","5.5","Low"
"04/01/0506/A","53","7","P","7","10A","4","","C","","","","","","","","","C","","","","","","","S1.2.2.2","","463.889","1","Spilling","NW","5.5","Moderate"
"04/01/0508/A","53","7","P","7","9A","4","P","C","N","","","","","","","","C","","","","C","","","S1.2.2.2","","1050.78","1","Spilling","NE","5.5","Low"
"04/01/0508/B","53","6","P","6","5","5","C","","N","","","","","","","","P","","","","P","","","S1.2.1.2.1","","559.399","12","Plunging","NE","5.5","Low"
"04/01/0508/C","53","6","P","6","9A","5","C","","N","","","","","","","","C","","","","P","","","S1.2.1.2.1","","78.556","6","Spilling","NE","5.5","Low"
"04/01/0509/A","50","6","P","6","5","5","C","","N","","","","C","","","","C","","C","","P","","","S1.2.1.2.1","","397.319","11","Plunging","NE","5.5","Low"
"04/01/0510/A","50","6","P","6","5","5","C","","N","","","","","","","","","","C","","P","","","S1.2.1.2.1","","273.975","15","Plunging","NE","5.5","Low"
"04/01/0510/B","50","6","P","6","5","5","C","","N","","","","","","","","","","C","","C","","","S1.2.1.2.1","","256.522","15","Plunging","N","5.5","Low"
"04/01/0510/C","50","6","P","6","9A","5","C","P","N","","","","","","","","C","","","","P","","","S1.2.1.2.1","","172.291","4","Spilling","SE","5.5","Low"
"04/01/0511/A","50","6","P","6","5","5","","C","","","","","","","","","P","","","","","","","S1.2.1.2.1","","261.998","7","Plunging","SE","5.5","Low"
"04/01/0512/A","41","6","SP","6","5","5","","C","","","","","","C","","","","","C","","","","","S1.2.1.2.1","","47.313","4","Spilling","NE","5.5","Low"
"04/01/0512/B","41","6","SP","6","5","5","","C","","","","","","C","","","","","C","","","","","S1.2.1.2.1","","283.831","7","Plunging","N","5.6","Moderate"
"04/01/0513/A","41","6","SP","6","5","5","","C","","","","","","","","","","","C","","","","","S1.2.1.2.1","","171.522","8","Plunging","NE","5.6","Low"
"04/01/0514/A","41","6","SP","6","6A","5","C","","","N","","P","","","","","","","C","","C","","","S1.2.1.2.1","","297.638","9","Plunging","NE","5.6","Low"
"04/01/0515/A","41","6","SP","6","6A","5","C","C","","","","C","","","","","","","C","","","","","S1.2.1.2.1","","260.514","11","Plunging","NE","5.6","Low"
"04/01/0516/A","41","6","SP","6","9A","5","C","P","","","","P","","P","","","","","C","","C","","","S1.2.1.2.1","","71.437","5","Spilling","SE","5.6","Low"
"04/01/0517/A","41","6","SP","6","6B","5","C","P","","","","","","C","","","","","C","","P","","","S1.2.1.2.1","","91.763","7","Plunging","E","5.6","Low"
"04/01/0518/A","41","6","SP","6","6A","5","C","P","","","","C","","","","","","","C","","","","","S1.2.1.2.1","","171.236","9","Plunging","NE","5.6","Low"
"04/01/0519/A","41","6","SP","6","6B","5","C","P","","","","P","","","","","","","C","","","","","S1.2.1.2.1","","245.24","5","Spilling","NE","5.6","Low"
"04/01/0520/A","41","5","SP","5","6B","4","","","","N","","C","","","","","","","C","","","","","S1.2.1.1","","210.468","10","Plunging","NE","5.6","Low"
