"Table  download from NOAA Fisheries ShoreZone mapping website, Fri Aug 09 2024"
"ShoreZone Unit"

Selection Criteria:

"PHY_IDENT","HabClass","BC_CLASS","EXP_BIO","SHORETYPE","ESI","ORI","TRSH","DUGR","SPZO","BLLI","YELI","BARN","BLMU","GRAL","BRAL","REAL","EELG","ALAR","SOBK","DABK","ROCK","DRKE","BUKE","CMECS_1","CMECS_2","LENGTH_M","Slope_calc","Wave_Dissipation","Orient_dir","Tidal_height","CVI_Rank"
"04/01/0671/0","42","25","SP","25","5","4","","P","","","","","","P","","","","","","","","","","","","71.566","","","","",""
"04/01/0672/0","41","24","SP","24","9A","4","","C","","","","","","C","","P","","","","","","","","","","319.072","","","","",""
"04/01/0673/0","43","31","SP","31","10A","5","","C","","","","","","","","","","","","","P","","","","","339.664","","","","",""
"04/01/0674/0","42","24","SP","24","5","4","","","","","","","","P","","","","","P","","","","","","","142.88","","","","",""
"04/01/0675/0","40","13","SP","13","5","4","","","N","","","","","C","","P","","","P","","","","","","","340.617","","","","",""
"04/01/0676/0","41","25","SP","25","5","4","","P","N","","","","","P","","","","","","","","","","","","308.01","","","","",""
"04/01/0677/0","42","31","SP","31","10A","5","","C","","","","","","P","","","","","","","","","","","","398.423","","","","",""
"04/01/0678/0","54","34","P","34","10A","4","","C","","","","","","","","","","","","","","","","","","121.621","","","","",""
"04/01/0679/0","53","31","P","31","10A","5","","P","","","","","","","","P","P","","","","","","","","","1684.493","","","","",""
"04/01/0680/0","54","34","P","34","10A","4","","","N","","","","","P","","P","P","","","","","","","","","95.824","","","","",""
"04/01/0681/0","51","24","P","24","9A","5","","","N","","","","","P","","P","","","P","","","","","","","244.459","","","","",""
"04/01/0682/0","50","13","P","13","5","5","","","N","","","","","","","","","","P","","","","","","","114.652","","","","",""
"04/01/0683/0","53","31","P","31","10A","5","","P","","","","","","P","","P","P","","","","","","","","","343.443","","","","",""
"04/01/0684/0","51","28","P","28","9A","4","","","N","","","","","P","","P","P","","","","","","","","","303.894","","","","",""
"04/01/0685/0","51","28","P","28","9A","4","","","N","","","","","","","","C","","","","P","","","","","3125.989","","","","",""
"04/01/0686/0","53","31","P","31","10A","5","","P","","","","","","P","","","","","","","","","","","","664.276","","","","",""
"04/01/0687/0","51","28","P","28","9A","4","","","N","","","","","P","","","P","","","","","","","","","196.785","","","","",""
"04/01/0688/0","53","31","P","31","10A","5","","","N","","","","","","","P","C","","","","","","","","","168.285","","","","",""
"04/01/0689/0","51","28","P","28","9A","4","","","N","","","","","P","","","C","","","","P","","","","","366.833","","","","",""
"04/01/0690/0","53","31","P","31","10A","5","","C","","","","","","P","","","P","","","","","","","","","886.772","","","","",""
"04/01/0691/0","53","31","P","31","10A","5","","C","","","","","","","","","P","","","","","","","","","1719.254","","","","",""
"04/01/0692/0","53","31","P","31","10A","5","","C","","","","","","P","","","C","","P","","P","","","","","532.949","","","","",""
"04/01/0693/0","51","28","P","28","9A","4","","","N","","","","","P","","","P","","P","","","","","","","1264.94","","","","",""
"04/01/0694/0","50","13","P","13","5","5","","","N","","","","","P","","","P","","P","","","","","","","147.631","","","","",""
"04/01/0695/0","51","28","P","28","9A","4","","","N","","","","","P","","","","","","","P","","","","","573.525","","","","",""
"04/01/0696/0","53","31","P","31","10A","5","","P","","","","","","P","","","P","","","","P","","","","","117.019","","","","",""
"04/01/0697/0","50","13","P","13","5","5","","","N","","","","","","","","","","","","","","","","","760.641","","","","",""
"04/01/0698/0","51","26","P","26","9A","5","","P","","","","","","","","","","","","","","","","","","200.874","","","","",""
"04/01/0699/0","50","13","P","13","5","5","","","N","","","","","P","","","","","P","","","","","","","81.319","","","","",""
"04/01/0700/0","51","24","P","24","5","5","","P","","","","","","","","","","","P","","","","","","","442.34","","","","",""
"04/01/0701/0","50","13","P","13","5","5","","","N","","","","","","","","","","","","","","","","","614.899","","","","",""
"04/01/0702/0","51","28","P","28","9A","4","","","N","","","","","","","","","","","","","","","","","33.245","","","","",""
"04/01/0703/0","53","31","P","31","10A","5","","P","","","","","","","","","","","","","","","","","","195.374","","","","",""
"04/01/0704/0","53","31","P","31","10A","5","","C","","","","","","P","","","","","","","","","","","","277.154","","","","",""
"04/01/0705/0","43","31","SP","31","10A","5","","P","","","","P","","P","","P","","P","P","","","","","","","108.451","","","","",""
"04/01/0706/0","41","24","SP","24","5","4","","","N","","","P","","C","","P","","","P","","","","","","","189.061","","","","",""
"04/01/0707/0","40","8","SP","8","6B","4","","","N","","","P","","C","","P","","","C","","P","","","","","527.789","","","","",""
"04/01/0708/0","40","8","SP","8","6B","4","","","N","","","P","","C","","","","","C","","","","","","","286.056","","","","",""
"04/01/0709/0","51","28","P","28","9A","4","","","N","","","","","C","","","","","P","","P","","","","","168.756","","","","",""
"04/01/0710/0","50","18","P","18","4","4","","","N","","","","","","","","C","","","","","","","","","598.993","","","","",""
"04/01/0711/0","53","31","P","31","10A","5","","P","","","","","","","","","C","","","","","","","","","597.005","","","","",""
"04/01/0712/0","51","28","P","28","9A","4","","P","","","","","","","","","C","","","","","","","","","507.457","","","","",""
"04/01/0713/0","51","28","P","28","9A","4","","","N","","","P","","C","","","P","","P","","","","","","","254.526","","","","",""
"04/01/0714/0","53","31","P","31","10A","5","","C","","","","","","C","","","","","P","","P","","","","","317.302","","","","",""
"04/01/0715/0","51","28","P","28","9A","4","","","N","","","","","C","","","","","P","","","","","","","218.839","","","","",""
"04/01/0716/0","50","26","P","26","5","5","","","N","","","","","P","","","P","","P","","","","","","","525.098","","","","",""
"04/01/0717/0","50","13","P","13","5","5","","","N","","","","","P","","","P","","","","","","","","","406.535","","","","",""
"04/01/0718/0","50","13","P","13","5","5","","","N","","","","","P","","","","","P","","","","","","","320.854","","","","",""
"04/01/0719/0","50","13","P","13","5","5","","","N","","","","","P","","P","","","P","","","","","","","407.808","","","","",""
"04/01/0720/0","50","16","P","16","4","4","","","N","","","","","P","","P","","","P","","","","","","","101.489","","","","",""
"04/01/0721/0","50","16","P","16","4","4","","","N","","","","","P","","P","","","P","","","","","","","93.331","","","","",""
"04/01/0722/0","50","14","P","14","6C","5","","","N","","","","","","","","","","P","","","","","","","101.396","","","","",""
"04/01/0723/0","40","14","SP","14","6C","4","","","N","","","","","P","","P","","","P","","","","","","","129.176","","","","",""
"04/01/0724/0","40","11","SP","11","6C","4","","","N","","","P","","C","","P","","","P","","","","","","","161.566","","","","",""
"04/01/0725/0","40","13","SP","13","5","4","","","N","","","P","","C","P","C","","","C","","P","","","","","175.838","","","","",""
"04/01/0726/0","41","25","SP","25","5","4","","P","","","","P","","C","","C","","","C","","P","","","","","126.566","","","","",""
"04/01/0727/0","40","13","SP","13","5","4","","","N","","","P","","C","","P","","","P","","P","","","","","335.677","","","","",""
"04/01/0728/0","41","27","SP","27","4","3","","P","","","","","","P","","P","","","P","","P","","","","","90.826","","","","",""
"04/01/0729/0","40","13","SP","13","5","4","","","N","","","P","","P","","P","","","P","","P","","","","","116.611","","","","",""
"04/01/0730/0","40","33","SP","33","6C","2","","","N","","","","","P","","P","","","","","","","","","","74.323","","","","",""
"04/01/0731/0","40","32","SP","32","6C","3","","","N","","","","","P","","C","","P","P","","P","","","","","112.059","","","","",""
"04/01/0732/0","41","30","SP","30","4","3","","","M","","","","","P","","P","","C","P","","P","","","","","97.577","","","","",""
"04/01/0733/0","40","13","SP","13","5","4","","","N","","","P","","C","","C","","C","P","","P","","","","","1189.092","","","","",""
"04/01/0734/0","41","30","SP","30","4","3","","","N","","","P","","C","","P","","P","P","","P","","","","","99.98","","","","",""
"04/01/0735/0","40","13","SP","13","5","4","","","M","","","P","","P","","C","","C","P","","P","","","","","103.678","","","","",""
"04/01/0736/0","40","14","SP","14","5","4","","","M","","","P","","P","","P","","P","P","","P","","","","","142.057","","","","",""
"04/01/0737/0","42","30","SP","30","4","3","","P","","","","","","","","","","P","","","","","","","","242.102","","","","",""
"04/01/0738/0","41","25","SP","25","5","4","","","M","","","C","","P","","C","","C","","","P","","","","","211.589","","","","",""
"04/01/0739/0","30","13","SE","13","5","3","","","M","","","P","","P","","C","","C","","","P","","","","","258.316","","","","",""
"04/01/0740/0","40","14","SP","14","5","4","","","N","","","P","","C","","C","","C","","","","","","","","98.136","","","","",""
"04/01/0741/0","30","9","SE","9","6B","5","","","M","","","P","","P","","P","","C","","P","P","","","","","111.557","","","","",""
"04/01/0742/0","32","21","SE","21","6A","5","","P","","","","","","P","","P","","C","","P","","","P","","","166.995","","","","",""
"04/01/0743/0","30","6","SE","6","6A","5","","","M","","","P","","P","","P","","C","","P","P","","P","","","135.966","","","","",""
"04/01/0744/0","31","21","SE","21","6A","5","","P","","","","P","","P","","C","","C","","","P","","P","","","328.569","","","","",""
"04/01/0745/0","30","13","SE","13","5","3","","","M","","","","","P","","C","","C","","","","","P","","","81.376","","","","",""
"04/01/0746/0","30","8","SE","8","1C","5","","","M","","","P","","P","","C","","C","","","P","","C","","","195.475","","","","",""
"04/01/0747/0","30","13","SE","13","5","3","","","M","","","P","","P","","P","","C","","P","P","","C","","","217.348","","","","",""
"04/01/0748/0","30","13","SE","13","5","3","","","M","","","P","","P","","P","","C","","","P","","C","","","790.091","","","","",""
"04/01/0749/0","30","8","SE","8","1C","5","","","M","","","P","","","","P","","P","","","C","","C","","","175.864","","","","",""
"04/01/0750/0","30","13","SE","13","5","3","","","M","","","P","","","","P","","P","","","P","","C","","","174.505","","","","",""
"04/01/0751/0","30","5","SE","5","2A","1","","","M","","","P","","","","C","","C","","","C","","C","","","250.127","","","","",""
"04/01/0752/0","30","25","SE","25","5","3","","","M","","","","","","","C","","C","","","P","","C","","","195.401","","","","",""
"04/01/0753/0","30","13","SE","13","5","3","","","M","","","","","","","C","","C","","","P","","C","","","260.76","","","","",""
"04/01/0754/0","30","2","SE","2","2A","1","","","M","","","","","","","C","","C","","","C","","C","","","174.494","","","","",""
"04/01/0755/0","30","2","SE","2","2A","1","","","M","","","","","","","C","","C","","","C","","C","","","72.527","","","","",""
"04/01/0756/0","30","2","SE","2","2A","1","","","M","","","","","","","C","","C","","","C","","C","","","411.302","","","","",""
"04/01/0757/0","32","24","SE","24","5","3","","P","","","","","","P","","P","","P","","","","C","P","","","137.397","","","","",""
"04/01/0758/0","32","24","SE","24","5","3","","P","","","","","","","","P","","","","","","P","P","","","307.213","","","","",""
"04/01/0759/0","32","24","SE","24","7","3","","P","","","","","","","","P","","P","","","","C","P","","","179.269","","","","",""
"04/01/0760/0","32","24","SE","24","7","3","","P","","","","","","","","P","","","","","","P","P","","","255.238","","","","",""
"04/01/0761/0","44","34","SP","34","4","4","","P","","","","","","","","","P","","","","","","","","","185.518","","","","",""
"04/01/0762/0","53","31","P","31","10A","5","","C","","","","","","","","","C","","","","","","","","","158.346","","","","",""
"04/01/0763/0","53","30","P","30","4","4","","C","","","","","","","","","C","","","","","","","","","535.302","","","","",""
"04/01/0764/0","53","31","P","31","10A","5","","C","","","","","","","","","C","","","","","","","","","789.565","","","","",""
"04/01/0765/0","53","30","P","30","4","4","","","N","","","","","","","","C","","","","","","","","","783.104","","","","",""
"04/01/0766/0","51","28","P","28","9A","4","","P","","","","","","","","","C","","","","","","","","","256.08","","","","",""
"04/01/0767/0","54","34","P","34","4","4","","P","","","","","","","","","P","","","","","","","","","183.571","","","","",""
"04/01/0768/0","44","34","SP","34","5","4","","","N","","","","","","","","P","P","","","","","","","","160.327","","","","",""
"04/01/0769/0","32","26","SE","26","7","3","","","M","","","","","","","P","","C","","","P","P","P","","","176.363","","","","",""
"04/01/0770/0","30","12","SE","12","5","3","","","M","","","P","","","","C","","P","","","P","P","P","","","275.951","","","","",""
"04/01/0771/0","30","12","SE","12","5","3","","","M","","","P","","","","C","","P","","","P","C","P","","","158.448","","","","",""
"04/01/0772/0","30","8","SE","8","1C","5","","","W","","","P","","","","C","","P","","P","P","P","P","","","884.305","","","","",""
"04/01/0773/0","30","9","SE","9","1C","5","","","W","","","P","","","","P","","","","P","P","C","P","","","109.114","","","","",""
"04/01/0774/0","30","1","SE","1","2A","1","","","W","","","C","","","","C","","","","P","P","P","P","","","125.969","","","","",""
"04/01/0775/0","21","13","E","13","5","2","","","W","","","P","P","","","C","","","","P","","C","P","","","138.187","","","","",""
"04/01/0776/0","20","9","E","9","2A","3","","","W","","","C","P","","","C","","","","P","","C","P","","","180.786","","","","",""
"04/01/0777/0","32","18","SE","18","4","3","","P","","","","P","","","","P","","","","","","P","P","","","169.879","","","","",""
"04/01/0778/0","30","7","SE","7","2A","5","","","W","","","C","","","","C","","","","","P","C","P","","","261.664","","","","",""
"04/01/0779/0","30","3","SE","3","1A","1","","","W","","","C","","","","C","","","","","P","C","P","","","188.225","","","","",""
"04/01/0780/0","22","25","E","25","5","2","","P","","","","P","","","","P","","","","","P","C","P","","","385.278","","","","",""
"04/01/0781/0","20","3","E","3","1A","1","","","W","","","C","","","","C","","","","P","P","C","P","","","183.684","","","","",""
"04/01/0782/0","21","13","E","13","5","2","","","W","","","P","","","","P","","","","P","P","P","P","","","273.917","","","","",""
"04/01/0783/0","20","3","E","3","1A","1","","","W","","","P","","","","C","","","","P","C","C","P","","","621.479","","","","",""
"04/01/0784/0","21","13","E","13","5","2","","","W","","","P","","","","P","","","","C","","C","","","","338.407","","","","",""
"04/01/0785/0","20","4","E","4","1C","1","","","W","","","P","","","","C","","","","C","P","C","","","","587.903","","","","",""
"04/01/0786/0","20","9","E","9","1C","3","","","W","","","P","","","","P","","","","P","P","C","","","","195.067","","","","",""
"04/01/0787/0","22","25","E","25","5","2","","C","","","","P","","","","P","","","","","","C","","","","467.969","","","","",""
"04/01/0788/0","30","13","SE","13","5","3","","","W","","","P","","P","","C","","","","","P","P","P","","","12.509","","","","",""
"04/01/0789/0","20","9","E","9","1C","3","","","W","","","C","","","","C","","","","P","P","C","C","","","304.532","","","","",""
"04/01/0790/0","32","6","SE","6","6B","5","","","W","","","","","","","P","","","","P","","C","C","","","124.345","","","","",""
"04/01/0791/0","30","4","SE","4","2A","1","","","M","","","P","","P","","C","","","","P","P","C","P","","","326.729","","","","",""
"04/01/0792/0","30","9","SE","9","1C","5","","","M","","","P","","P","","C","","","","","P","C","P","","","126.462","","","","",""
"04/01/0793/0","30","27","SE","27","5","3","","P","","","","P","","P","","P","","","","","","C","P","","","208.759","","","","",""
"04/01/0794/0","30","9","SE","9","6B","5","","","W","","","P","","","","C","","","","","P","C","P","","","283.777","","","","",""
"04/01/0795/0","30","8","SE","8","6B","5","","","W","","","P","","C","","P","","","","","P","P","P","","","111.839","","","","",""
"04/01/0796/0","32","30","SE","30","4","3","","","","","","","","P","","P","","","","","P","P","P","","","72.963","","","","",""
"04/01/0797/0","31","24","SE","24","5","3","","","M","","","P","","P","","C","","","","","P","C","P","","","221.705","","","","",""
"04/01/0798/0","20","4","E","4","1A","1","","","M","","","","","C","","C","","","","P","","P","P","","","134.946","","","","",""
"04/01/0799/0","30","9","SE","9","6B","5","","","W","","","","","","","P","","","","","","P","","","","533.979","","","","",""
"04/01/0800/0","32","25","SE","25","5","3","","","W","","","","","","","P","","","","","","C","","","","746.785","","","","",""
"04/01/0801/0","30","13","SE","13","5","3","","","M","","","P","","P","","P","","","","","P","C","P","","","199.226","","","","",""
"04/01/0802/0","30","8","SE","8","6B","5","","","M","","","P","","","","C","","","","","","P","P","","","165.948","","","","",""
"04/01/0803/0","30","13","SE","13","5","3","","","M","","","P","","","","C","","","","","P","P","P","","","224.873","","","","",""
"04/01/0804/0","30","13","SE","13","5","3","","","W","","","P","","","","C","","","","","C","C","P","","","279.816","","","","",""
"04/01/0805/0","30","8","SE","8","6B","5","","","W","","","P","","P","","P","","","","","","C","P","","","486.652","","","","",""
"04/01/0806/0","30","8","SE","8","6B","5","","","M","","","P","","P","","C","","","","","","C","C","","","247.373","","","","",""
"04/01/0807/0","30","22","SE","22","6B","5","","","M","","","P","","P","","C","","","","","P","C","C","","","93.056","","","","",""
"04/01/0808/0","30","9","SE","9","6B","5","","","M","","","P","","P","","C","","","","","","C","C","","","167.132","","","","",""
"04/01/0809/0","20","2","E","2","2A","1","","","W","","","P","","","","C","","","","P","P","C","C","","","48.393","","","","",""
"04/01/0810/0","20","4","E","4","1A","1","","","W","","","P","","","","C","","","","P","","C","C","","","369.633","","","","",""
"04/01/0811/0","20","11","E","11","6B","2","","","W","","","P","","","","P","","","","P","","C","C","","","96.462","","","","",""
"04/01/0812/0","20","3","E","3","1A","1","","","W","","","C","","","","C","","","","P","","C","C","","","281.018","","","","",""
"04/01/0813/0","30","10","SE","10","2A","5","","","M","","","P","","P","","P","","","","","","P","P","","","221.16","","","","",""
