"Table  download from NOAA Fisheries ShoreZone mapping website, Fri Aug 09 2024"
"ShoreZone Unit"

Selection Criteria:

"PHY_IDENT","HabClass","BC_CLASS","EXP_BIO","SHORETYPE","ESI","ORI","TRSH","DUGR","SPZO","BLLI","YELI","BARN","BLMU","GRAL","BRAL","REAL","EELG","ALAR","SOBK","DABK","ROCK","DRKE","BUKE","CMECS_1","CMECS_2","LENGTH_M","Slope_calc","Wave_Dissipation","Orient_dir","Tidal_height","CVI_Rank"
"04/01/0436/A","51","6","P","6","9A","5","","","N","M","","","","C","","","C","","C","","C","","","S1.2.1.2.1","","171.434","6","Spilling","SE","5.38","Low"
"04/01/0437/A","51","6","P","6","9A","5","","","N","","","","","","","","C","","C","","C","","","S1.2.1.2.1","","106.798","5","Spilling","S","5","Low"
"04/01/0438/A","51","12","P","12","8C","5","","","","N","","P","","","","","C","","C","","C","","","S3","","213.721","14","Plunging","SE","5","Low"
"04/01/0439/A","51","12","P","12","8C","5","","","N","","","C","","","","","C","","C","","","","","S3","","113.872","19","Plunging","SE","4.5","Low"
"04/01/0439/B","51","6","P","6","5","5","","P","","N","","P","","","","","C","","C","","C","","","S1.2.1.2.1","","60.73","19","Plunging","SE","4.5","Low"
"04/01/0439/C","51","6","P","6","5","5","P","","","","","","","","","","C","","C","","C","","","S1.2.1.2.1","","125.72","24","Plunging","SE","4","Low"
"04/01/0440/A","50","6","P","6","5","5","C","","N","","","","","","","","C","","C","","C","","","S1.2.1.2.1","","382.001","27","Plunging","E","3.5","Low"
"04/01/0441/A","50","6","P","6","5","5","C","","N","","","","","","","","C","","C","","C","","","S1.2.1.2.1","","174.578","16","Plunging","NE","3.5","Low"
"04/01/0442/A","51","6","P","6","10A","5","P","C","","","","","","","","","C","","C","","","","","S1.2.1.2.1","","155.106","11","Plunging","NE","3.5","Low"
"04/01/0443/A","51","6","P","6","5","5","C","","","","","","","","","","C","","C","","P","","","S1.2.1.2.1","","470.491","35","Plunging","E","3.5","Low"
"04/01/0444/A","51","10","P","10","10A","5","","C","","","","","","","","","C","","","","","","","S1.2","S2.3","115.617","21","Plunging","E","3","Low"
"04/01/0445/A","53","10","P","10","10A","5","","C","","","","","","","","","C","","","","","","","S1.2","S2.3","308.712","21","Plunging","E","3","Low"
"04/01/0446/A","53","10","P","10","10A","5","","C","","","","","","","","","C","","","","","","","S1.2","S2.3","554.47","21","Plunging","W","3","Low"
"04/01/0447/A","53","10","P","10","10A","5","","C","","","","","","","","","C","","","","","","","S1.2","S2.3","135.792","21","Plunging","W","3","Low"
"04/01/0448/A","53","10","P","10","10A","5","","C","","","","","","","","","C","","","","","","","S1.2","S2.3","321.002","6","Spilling","N","3","Low"
